,id
0,1476695235208126472
1,1476693305211736067
2,1476688272252444673
3,1476674764206968834
4,1476673351636504576
5,1476668960875716610
6,1476664315524620288
7,1476663972745166854
8,1476662830862639104
9,1476660301718331395
10,1476658095296290821
11,1476655283464130563
12,1476648295732813825
13,1476645030202949643
14,1476640705405612058
15,1476640359291789319
16,1476640058094587909
17,1476640009549606917
18,1476634528164704270
19,1476633663395688461
20,1476631589559967746
21,1476627290972995589
22,1476624047463141384
23,1476623412009177088
24,1476616842936561665
25,1476614874826428421
26,1476612584895926273
27,1476610178652901379
28,1476603208399261701
29,1476602083205795855
30,1476599639574986758
31,1476598985691385856
32,1476598364040941569
33,1476587259533135876
34,1476584120570441731
35,1476583565877993487
36,1476581841377411075
37,1476580257197080577
38,1476580250297540608
39,1476579407808450572
40,1476575707350409225
41,1476572617033367554
42,1476572601598283780
43,1476572032263405572
44,1476569237984587783
45,1476563905547747341
46,1476562671600340998
47,1476561550085398534
48,1476561060421382146
49,1476559204592852998
50,1476552567144472583
51,1476552319647035396
52,1476550482193797120
53,1476550413696524294
54,1476549705874223105
55,1476549383013421062
56,1476549322519072773
57,1476549264197128199
58,1476548822662791172
59,1476540413217542153
60,1476506013733957640
61,1476492701788901376
62,1476489393007259650
63,1476488777493143552
64,1476482307305443331
65,1476475819379900417
66,1476475048487636995
67,1476464797570977794
68,1476453377231900676
69,1476425090350911493
70,1476424662292877314
71,1476405187887738880
72,1476399832352837634
73,1476385899269087232
74,1476376286570459137
75,1476375942108893186
76,1476364029274824708
77,1476359143489482758
78,1476358716077322244
79,1476358222701383682
80,1476356191945064448
81,1476352225312223236
82,1476340981272252416
83,1476302393872584704
84,1476283704129601537
85,1476283651256111109
86,1476273882910896131
87,1476266672600223746
88,1476263336081862659
89,1476260077497683968
90,1476259511153299457
91,1476247101822570499
92,1476235695505035266
93,1476195183985401858
94,1476159890770911233
95,1476156190774030338
96,1476155316538863616
97,1476143043514355716
98,1476105444489760770
99,1476102382098411522
100,1476101512992489473
101,1476099936471158788
102,1476099931597197316
103,1476099217005244417
104,1476099110696415232
105,1476083938963558400
106,1476075929482842116
107,1476075864639086593
108,1476039578666549254
109,1476036337375408128
110,1475998745502228481
111,1475993051751456769
112,1475979443273404418
113,1475972109239459840
114,1475934786472628234
115,1475911712205385729
116,1475846590455767044
117,1475844519719407618
118,1475842674833833991
119,1475788995955200003
